track_name,track_artist,valence,energy,danceability,tempo,acousticness,speechiness
If You Run,You Me At Six,0.435,0.934,0.388,166.023,0.00212,0.0669
If I Were In Your Shoes,You Me At Six,0.703,0.923,0.351,186.117,4.49e-05,0.0553
Always Attract,You Me At Six,0.226,0.357,0.357,146.968,0.22,0.0285
The Rumour,You Me At Six,0.166,0.765,0.375,131.968,0.0018,0.102
Kiss And Tell,You Me At Six,0.661,0.932,0.466,79.976,0.000367,0.0543
Finders Keepers,You Me At Six,0.381,0.898,0.486,121.995,0.000234,0.055
Sweet Feet,You Me At Six,0.389,0.718,0.359,140.059,0.00315,0.0429
Loverboy,You Me At Six,0.5,0.736,0.517,139.894,0.000319,0.0423
Loverboy - Acoustic Version,You Me At Six,0.461,0.492,0.643,137.991,0.306,0.032
Starry Eyed,You Me At Six,0.921,0.737,0.711,150.028,0.0243,0.0449
Guts,All Time Low,0.491,0.975,0.413,180.01,0.00903,0.138
Cheap Shots & Setbacks,AS IT IS,0.55,0.982,0.412,157.043,9.22e-05,0.0777
Time-Bomb,All Time Low,0.673,0.924,0.521,139.043,0.0052,0.0527
That Girl,All Time Low,0.896,0.94,0.56,91.966,0.0218,0.0417
Weightless,All Time Low,0.618,0.931,0.479,181.069,0.00309,0.134
Break Your Little Heart,All Time Low,0.679,0.956,0.414,147.909,0.00244,0.0528
Damned If I Do Ya (Damned If I Don't),All Time Low,0.856,0.911,0.595,126.0,0.00617,0.0505
Lost In Stereo,All Time Low,0.688,0.964,0.456,150.007,0.00221,0.0583
Sick Little Games,All Time Low,0.473,0.802,0.478,96.974,0.00478,0.0333
A Party Song (The Walk of Shame),All Time Low,0.554,0.966,0.544,98.952,0.0142,0.0429
Therapy,All Time Low,0.154,0.724,0.341,169.687,0.0236,0.0339
Coffee Shop Soundtrack,All Time Low,0.422,0.851,0.423,184.927,0.00271,0.112
Jasey Rae,All Time Low,0.387,0.895,0.493,96.031,4.46e-05,0.038
Running From Lions,All Time Low,0.517,0.8,0.456,176.912,0.000745,0.0591
Six Feet Under The Stars,All Time Low,0.347,0.967,0.49,130.929,0.0164,0.0708
"Dear Maria, Count Me In",All Time Low,0.595,0.891,0.455,181.011,0.00725,0.0869
Remembering Sunday,All Time Low,0.313,0.592,0.446,170.117,0.14,0.0268
Poppin' Champagne,All Time Low,0.555,0.885,0.577,123.013,0.0248,0.0589
Give It Up,The Friday Night Boys,0.867,0.942,0.432,146.99,0.000699,0.043
"You Do, You Don't",The Friday Night Boys,0.441,0.422,0.435,76.096,0.836,0.0293
Stupid Love Letter,The Friday Night Boys,0.557,0.827,0.616,130.006,0.0156,0.107
She's Finding Me Out,The Friday Night Boys,0.251,0.7,0.31,185.892,0.00763,0.0331
That's What She Said,The Friday Night Boys,0.608,0.957,0.518,158.01,0.02,0.209
When You See My Friends,Mayday Parade,0.291,0.753,0.228,170.878,0.00149,0.037
You're Dead Wrong,Mayday Parade,0.326,0.77,0.204,77.096,0.00698,0.042
"Call Me Hopeless, but Not Romantic",Mayday Parade,0.303,0.868,0.432,110.509,0.000739,0.0349
Without the Bitter the Sweet Isn't as Sweet,Mayday Parade,0.317,0.591,0.303,110.065,0.0127,0.0335
Terrible Things - EP Version,Mayday Parade,0.372,0.371,0.285,154.989,0.698,0.0295
Kids in Love,Mayday Parade,0.72,0.963,0.512,135.027,0.000917,0.0583
Bruised and Scarred,Mayday Parade,0.452,0.953,0.512,123.07,0.00185,0.0889
"If You Can't Live Without Me, Why Aren't You Dead Yet?",Mayday Parade,0.357,0.974,0.397,164.759,0.000137,0.325
I Swear This Time I Mean It,Mayday Parade,0.398,0.548,0.423,141.062,0.426,0.0278
Warm Me Up,The Audition,0.754,0.951,0.477,162.956,0.0087,0.0558
Make It Rain,The Audition,0.557,0.958,0.47,160.015,0.0143,0.0685
You've Made Us Conscious,The Audition,0.512,0.93,0.444,90.057,0.0325,0.0751
Don't Be So Hard,The Audition,0.458,0.917,0.39,169.952,0.00146,0.0745
My Temperature Is Rising,The Audition,0.721,0.893,0.524,136.992,0.000844,0.042
Love With a Motive,The Audition,0.598,0.808,0.606,119.897,0.00664,0.0334
Los Angeles,The Audition,0.564,0.799,0.525,145.016,0.00684,0.0468
The Great Escape,Boys Like Girls,0.505,0.94,0.423,149.934,0.00166,0.0635
Five Minutes to Midnight,Boys Like Girls,0.621,0.901,0.463,163.966,0.00779,0.087
Hero / Heroine,Boys Like Girls,0.32,0.904,0.422,163.929,0.02,0.102
Long Lost Friends,Transit,0.699,0.899,0.529,138.996,0.000374,0.0357
Voted Most Likely,Man Overboard,0.639,0.966,0.283,171.743,2.37e-05,0.126
Punishment,Man Overboard,0.441,0.961,0.364,160.179,1.84e-05,0.0961
Picture Perfect,Man Overboard,0.475,0.808,0.485,136.062,0.000335,0.0592
Night Feelings,Man Overboard,0.578,0.955,0.529,108.855,5.65e-05,0.0829
Montrose,Man Overboard,0.426,0.956,0.491,130.016,0.00261,0.0686
You Might As Well Be In Space,The Years Gone By,0.668,0.956,0.35,145.431,0.00707,0.0807
Tear Down The Stars,The Years Gone By,0.228,0.484,0.553,126.824,0.651,0.0366
Stay Close,The Years Gone By,0.77,0.886,0.501,127.558,0.000654,0.0718
Autumn,Sparks The Rescue,0.421,0.893,0.383,174.935,0.000446,0.0603
We Love Like Vampires,Sparks The Rescue,0.545,0.953,0.477,124.057,0.00184,0.0692
All the Pretty Girls,fun.,0.773,0.787,0.646,131.036,0.258,0.0602
Up All Night,blink-182,0.45,0.896,0.476,155.966,0.000363,0.0543
I Miss You,blink-182,0.569,0.776,0.423,109.991,0.000843,0.0452
Down,blink-182,0.33,0.916,0.525,93.975,0.0642,0.0437
First Date,blink-182,0.887,0.923,0.581,95.616,0.000757,0.0407
Story Of A Lonely Guy,blink-182,0.567,0.885,0.557,152.089,0.00103,0.0331
Stay Together For The Kids,blink-182,0.171,0.758,0.522,145.148,0.00152,0.0352
Roller Coaster,blink-182,0.68,0.954,0.554,116.154,0.00147,0.0455
What's My Age Again?,blink-182,0.433,0.954,0.398,157.766,0.0133,0.0715
All The Small Things,blink-182,0.712,0.893,0.442,148.119,0.00844,0.0505
Dammit,blink-182,0.404,0.968,0.396,109.096,0.00171,0.101
There Is,Box Car Racer,0.783,0.853,0.623,106.099,0.141,0.0472
1985,Bowling For Soup,0.853,0.878,0.607,119.955,0.000246,0.0665
Havana (feat. Young Thug),Camila Cabello,0.394,0.523,0.765,104.988,0.184,0.03
Stitches,Shawn Mendes,0.764,0.754,0.746,149.882,0.0152,0.067
Bad Liar,Selena Gomez,0.728,0.414,0.965,121.032,0.189,0.0713
Most Girls,Hailee Steinfeld,0.417,0.572,0.756,102.986,0.0478,0.0763
Swish Swish,Katy Perry,0.575,0.705,0.839,119.954,0.0184,0.0445
Strip That Down,Liam Payne,0.542,0.497,0.874,106.023,0.22,0.0562
Cool for the Summer,Demi Lovato,0.336,0.61,0.583,114.06,0.00425,0.0382
Blank Space,Taylor Swift,0.57,0.703,0.76,95.997,0.103,0.054
Treat You Better,Shawn Mendes,0.747,0.819,0.444,82.695,0.106,0.341
Same Old Love,Selena Gomez,0.438,0.593,0.672,98.02,0.0223,0.0304
"thank u, next",Ariana Grande,0.412,0.653,0.717,106.966,0.229,0.0658
Dark Horse,Katy Perry,0.353,0.585,0.645,131.931,0.00314,0.0513
"Sit Still, Look Pretty",Daya,0.554,0.787,0.655,181.799,0.122,0.264
Party In The U.S.A.,Miley Cyrus,0.47,0.698,0.652,96.021,0.00112,0.042
The Cure,Lady Gaga,0.516,0.506,0.697,100.002,0.0792,0.0325
Best Song Ever,One Direction,0.486,0.877,0.652,118.491,0.0227,0.0465
Slow Hands,Niall Horan,0.848,0.425,0.735,85.894,0.011,0.0466
no tears left to cry,Ariana Grande,0.354,0.713,0.699,121.993,0.04,0.0594
Girls Like You (feat. Cardi B),Maroon 5,0.448,0.541,0.851,124.959,0.568,0.0505
Chloe (You're the One I Want),Emblem3,0.93,0.925,0.71,118.024,0.039,0.0359
"How Far I'll Go - From ""Moana""",Alessia Cara,0.16,0.544,0.309,180.979,0.155,0.352
Pretty Girls,Britney Spears,0.788,0.831,0.834,103.009,0.00799,0.0745
Body on Me,Rita Ora,0.53,0.741,0.636,88.999,0.0132,0.041
A Year Without Rain,Selena Gomez & The Scene,0.409,0.81,0.627,119.98,0.0125,0.0431
Wolves,Selena Gomez,0.306,0.804,0.724,124.987,0.124,0.0448
Valentine,5 Seconds of Summer,0.773,0.767,0.746,94.007,0.0601,0.0374
Alive,Krewella,0.57,0.828,0.671,127.976,0.00304,0.053
Hey There Delilah,Plain White T's,0.298,0.291,0.657,103.973,0.872,0.0293
One Last Time,Ariana Grande,0.104,0.593,0.628,125.026,0.093,0.0323
Say You Won't Let Go,James Arthur,0.494,0.557,0.358,85.043,0.695,0.059
Halo,Beyoncé,0.472,0.72,0.508,79.983,0.272,0.0628
Umbrella,Rihanna,0.575,0.829,0.583,174.028,0.00864,0.134
All Star,Smash Mouth,0.776,0.867,0.731,104.019,0.0395,0.032
Seventeen,Troye Sivan,0.347,0.743,0.612,118.913,0.165,0.0442
Lie To Me (feat. Julia Michaels),5 Seconds of Summer,0.771,0.52,0.611,159.927,0.0132,0.0346
On The Floor,Jennifer Lopez,0.575,0.777,0.73,130.0,0.105,0.0496
Shut Up and Dance,WALK THE MOON,0.619,0.866,0.578,128.038,0.00701,0.0619
Honestly,Hot Chelle Rae,0.916,0.787,0.641,93.01,0.0268,0.0375
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.913,0.479,0.76,89.911,0.556,0.0466
Just The Way You Are,Bruno Mars,0.434,0.843,0.637,109.012,0.0151,0.0432
Bad Day,Daniel Powter,0.52,0.785,0.599,140.046,0.448,0.0309
I Want It That Way,Backstreet Boys,0.484,0.702,0.689,99.031,0.216,0.0261
Somebody That I Used To Know,Gotye,0.748,0.521,0.865,129.059,0.548,0.0371
Take Me to Church,Hozier,0.437,0.664,0.566,128.945,0.634,0.0464
Don't Stop The Music,Rihanna,0.542,0.669,0.835,122.668,0.0336,0.0643
Wake Me Up Before You Go-Go,Wham!,0.876,0.764,0.618,81.366,0.186,0.0562
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,0.369,0.485,0.541,136.956,0.558,0.031
Sugar,Maroon 5,0.885,0.783,0.744,120.042,0.0553,0.0337
Animals,Maroon 5,0.344,0.741,0.459,189.879,0.000189,0.0495
Let It Go - English Version,Idina Menzel,0.35,0.489,0.526,136.807,0.548,0.0321
Photograph,Ed Sheeran,0.201,0.379,0.614,107.989,0.607,0.0476
Call Me Maybe,Carly Rae Jepsen,0.648,0.615,0.778,120.045,0.0126,0.0384
Titanium (feat. Sia),David Guetta,0.301,0.787,0.604,126.062,0.0679,0.103
Lights Down Low,MAX,0.594,0.493,0.623,81.019,0.0632,0.0338
Best Day Of My Life,American Authors,0.538,0.902,0.673,100.012,0.0591,0.0346
Take Me To Church,Hozier,0.437,0.664,0.566,128.945,0.634,0.0464
Lose You To Love Me,Selena Gomez,0.0978,0.343,0.488,102.819,0.556,0.0436
Wrong Direction,Hailee Steinfeld,0.188,0.388,0.378,72.293,0.472,0.036
Adore You,Harry Styles,0.569,0.771,0.676,99.048,0.0237,0.0483
7 rings,Ariana Grande,0.327,0.317,0.778,140.048,0.592,0.334
Teeth,5 Seconds of Summer,0.42,0.461,0.749,139.02,0.0516,0.0416
Without Me,Halsey,0.533,0.488,0.752,136.041,0.297,0.0705
2002,Anne-Marie,0.603,0.683,0.697,96.133,0.0372,0.117
Bang Bang,Jessie J,0.739,0.783,0.706,150.045,0.315,0.1
You Need To Calm Down,Taylor Swift,0.714,0.671,0.771,85.026,0.00929,0.0553
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.589,0.772,0.642,153.995,0.0476,0.0848
Scars To Your Beautiful,Alessia Cara,0.451,0.739,0.573,97.085,0.0285,0.129
Woman Like Me (feat. Nicki Minaj),Little Mix,0.8,0.854,0.754,75.002,0.177,0.0608
Because of You,Kelly Clarkson,0.15,0.583,0.587,139.92,0.248,0.0313
Strip That Down (feat. Quavo),Liam Payne,0.546,0.495,0.873,106.033,0.199,0.0518
Rewrite The Stars,Zac Efron,0.284,0.619,0.684,125.046,0.0716,0.0386
Hate Me (with Juice WRLD),Ellie Goulding,0.759,0.768,0.657,75.025,0.108,0.0507
Somebody To You,The Vamps,0.759,0.849,0.559,86.978,0.0854,0.0454
Pretty Brown Eyes,Cody Simpson,0.763,0.737,0.653,99.033,0.0181,0.0388
I Like Me Better,Lauv,0.419,0.505,0.752,91.97,0.535,0.253
Something About the Sunshine,Anna Margaret,0.822,0.846,0.685,125.075,0.0972,0.0517
Who Will I Be,Demi Lovato,0.749,0.946,0.493,152.089,0.0006489999999999,0.0751
Introducing Me,Nick Jonas,0.684,0.495,0.509,112.893,0.491,0.0515
Play My Music,Jonas Brothers,0.759,0.875,0.471,177.98,0.000652,0.087
Mine,Bazzi,0.717,0.789,0.71,142.929,0.0161,0.0722
Lovin' So Hard,Becky G,0.551,0.828,0.603,77.5,0.0616,0.0505
Shower,Becky G,0.121,0.529,0.699,119.987,0.0317,0.0487
Kiss You,One Direction,0.905,0.934,0.63,89.992,0.0186,0.0589
Die Young,Kesha,0.801,0.7,0.711,128.001,0.00498,0.046
Live While We're Young,One Direction,0.936,0.837,0.658,126.015,0.0629,0.0543
Last Friday Night (T.G.I.F.),Katy Perry,0.765,0.815,0.649,126.03,0.00125,0.0415
Your Love Is My Drug,Kesha,0.756,0.612,0.825,120.058,0.00677,0.0969
22,Taylor Swift,0.676,0.724,0.661,104.011,0.00288,0.0373
Can We Dance,The Vamps,0.586,0.848,0.644,130.156,0.00231,0.0477
What the Hell,Avril Lavigne,0.864,0.932,0.571,150.014,0.00448,0.0576
Hair,Little Mix,0.741,0.835,0.712,153.956,0.00623,0.0487
Domino,Jessie J,0.783,0.554,0.758,126.986,0.0116,0.0341
Baby,Justin Bieber,0.535,0.86,0.728,65.043,0.0401,0.137
Volcanic Love,The Aces,0.567,0.819,0.439,179.885,0.0134,0.0751
Lightning In A Bottle,The Summer Set,0.765,0.871,0.659,128.993,0.095,0.0333
Body Language (feat. Usher & Tinashe),Kid Ink,0.256,0.53,0.882,99.015,0.0187,0.0379
No Control,One Direction,0.85,0.916,0.558,142.984,0.0278,0.0839
Made In The USA,Demi Lovato,0.594,0.86,0.576,87.461,0.000875,0.0394
Stutter,Marianas Trench,0.547,0.934,0.738,104.97,0.00176,0.12
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,0.77,0.806,0.414,96.044,0.00792,0.0665
You'll Always Find Your Way Back Home,Hannah Montana,0.692,0.906,0.577,152.946,0.0304,0.0583
Round & Round,Selena Gomez & The Scene,0.486,0.686,0.545,127.996,0.00265,0.0665
Better in Stereo - Theme Song Version,Dove Cameron,0.819,0.827,0.699,109.971,0.222,0.0372
Had Me @ Hello,Olivia Holt,0.541,0.884,0.638,130.034,0.00918,0.049
"Wildside - From ""Adventures in Babysitting""",Sabrina Carpenter,0.744,0.576,0.766,122.975,0.00404,0.0426
Make You Believe,Lucy Hale,0.883,0.837,0.732,124.982,0.0178,0.0615
Loud,R5,0.49,0.845,0.588,89.912,0.026,0.0534
Smile,R5,0.57,0.789,0.61,92.021,0.00221,0.0378
Cloud 9 - Original TV Movie Soundtrack,Dove Cameron,0.255,0.933,0.473,122.014,0.0344,0.0809
She's So Gone,Naomi Scott,0.457,0.861,0.518,141.986,0.0277,0.0673
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",Hannah Montana,0.681,0.861,0.676,124.031,0.0512,0.0501
Shadows Of The Night,Pat Benatar,0.529,0.682,0.522,111.902,0.29,0.0344
Heaven Is a Place on Earth,Belinda Carlisle,0.793,0.852,0.64,122.902,0.0243,0.0345
I Don't Want It At All,Kim Petras,0.751,0.739,0.766,110.018,0.105,0.0835
Hillside Boys,Kim Petras,0.742,0.635,0.771,124.024,0.0116,0.0475
Phantom,Jessie Paege,0.25,0.843,0.602,116.062,0.00251,0.0395
There's Nothing Holdin' Me Back,Shawn Mendes,0.969,0.813,0.866,121.998,0.38,0.0554
Budapest,George Ezra,0.389,0.455,0.717,127.81,0.0846,0.0276
broken,lovelytheband,0.51,0.728,0.666,122.996,0.00175,0.0419
Telephone,Waterparks,0.892,0.948,0.547,168.98,0.0302,0.0693
Stupid for You,Waterparks,0.596,0.922,0.581,118.408,0.024,0.0666
Cough Syrup,Young the Giant,0.225,0.721,0.534,128.978,0.0343,0.0417
I Think I'm In Love,Kat Dahlia,0.574,0.638,0.632,121.868,0.137,0.0505
Dealer,Troy Murray,0.32,0.649,0.713,101.034,0.113,0.0586
Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.389,0.662,0.897,112.511,0.0852,0.292
Pure Water (with Migos),Mustard,0.137,0.559,0.68,202.006,0.172,0.129
Break Me Down,L0uie L0u,0.694,0.833,0.571,75.802,0.196,0.362
Make You Mine,L0uie L0u,0.239,0.576,0.445,143.694,0.528,0.349
ZEZE,Kodak Black,0.504,0.603,0.861,98.043,0.0521,0.176
So Good,Jae Mazor,0.14,0.461,0.66,124.018,0.385,0.0373
Up in There (feat. Rippa da Kid & Troy Murray),Jae Mazor,0.61,0.753,0.679,80.014,0.0377,0.0988
Breathe,Jae Mazor,0.585,0.542,0.725,143.915,0.0646,0.0424
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.434,0.662,0.581,93.023,0.0153,0.303
All I Got (feat. Jae Mazor & Rippa Da Kid),Orion Paxx,0.456,0.887,0.652,172.993,0.0314,0.223
Better Now,Post Malone,0.341,0.578,0.68,145.038,0.331,0.04
Hustler,Only1Tipy,0.397,0.8,0.715,84.973,0.152,0.243
Thotiana,Blueface,0.391,0.382,0.906,104.025,0.18,0.269
Raw,Rippa da Kid,0.45,0.877,0.54,103.073,0.271,0.18
a lot,21 Savage,0.274,0.636,0.837,145.972,0.0395,0.086
I'm Good,Rippa da Kid,0.319,0.715,0.637,188.094,0.637,0.322
Relentless,Fayn,0.18,0.954,0.519,119.394,0.0571,0.402
Please Me,Cardi B,0.65,0.57,0.747,133.992,0.0642,0.081
How You Want It (feat. Jae Mazor),Fayn,0.567,0.816,0.511,176.386,0.0178,0.322
Look Back at It,A Boogie Wit da Hoodie,0.536,0.587,0.791,96.057,0.407,0.0413
SICKO MODE,Travis Scott,0.446,0.73,0.834,155.008,0.00513,0.222
Epic,Fayn,0.259,0.436,0.809,137.934,0.0336,0.233
Going Bad (feat. Drake),Meek Mill,0.544,0.496,0.889,86.003,0.259,0.0905
Adan y Eva,Paulo Londra,0.72,0.709,0.767,171.993,0.323,0.336
Irresistible,Fall Out Boy,0.367,0.889,0.504,165.047,0.0489,0.0737
Like A G6,Far East Movement,0.778,0.837,0.435,124.913,0.00676,0.449
Thnks fr th Mmrs,Fall Out Boy,0.588,0.891,0.459,154.837,0.00511,0.0623
Quarter Past Midnight,Bastille,0.458,0.821,0.504,155.131,0.275,0.0598
Alone Together,Fall Out Boy,0.606,0.915,0.552,90.013,0.0013,0.0559
Viva La Vida,Coldplay,0.416,0.619,0.485,138.017,0.0941,0.0289
The Phoenix,Fall Out Boy,0.41,0.964,0.562,138.063,0.000539,0.072
Good Feeling,Flo Rida,0.684,0.89,0.706,128.011,0.0588,0.0688
Maps,Maroon 5,0.879,0.713,0.742,120.032,0.0205,0.0303
Thunder,Imagine Dragons,0.249,0.809,0.601,167.96,0.00763,0.0441
Believer,Imagine Dragons,0.722,0.78,0.784,124.953,0.0492,0.102
Holiday,Green Day,0.716,0.89,0.552,146.525,0.000143,0.0342
Boulevard of Broken Dreams,Green Day,0.474,0.682,0.496,167.06,0.00552,0.0294
"You're Gonna Go Far, Kid",The Offspring,0.601,0.917,0.55,126.115,0.00428,0.0638
Basket Case,Green Day,0.781,0.943,0.442,85.064,0.00293,0.0602
Low (feat. T-Pain),Flo Rida,0.304,0.609,0.918,128.008,0.0928,0.0791
Dynamite,Taio Cruz,0.818,0.804,0.754,119.968,0.00332,0.0853
Hooked on a Feeling,Blue Swede,0.933,0.82,0.547,118.208,0.261,0.0805
Escape (The Pina Colada Song),Rupert Holmes,0.949,0.509,0.836,138.713,0.467,0.0548
I Don't Care - Single Version,Fall Out Boy,0.433,0.938,0.55,133.99,0.00171,0.0522
Uma Thurman,Fall Out Boy,0.687,0.961,0.622,149.962,0.102,0.0669
Say Amen (Saturday Night),Panic! At The Disco,0.602,0.867,0.491,167.965,0.167,0.103
Thunder,Imagine Dragons,0.288,0.822,0.605,167.997,0.00671,0.0438
American Idiot,Green Day,0.769,0.988,0.38,186.113,2.64e-05,0.0639
Centuries,Fall Out Boy,0.56,0.858,0.394,176.044,0.00359,0.0729
Immortals,Fall Out Boy,0.475,0.868,0.615,108.017,0.00131,0.07
Youngblood,5 Seconds of Summer,0.152,0.854,0.596,120.274,0.0169,0.463
Godzilla,Blue Öyster Cult,0.696,0.869,0.373,184.024,0.164,0.0554
Cherry Pie,Warrant,0.508,0.955,0.407,177.48,0.0251,0.164
Juke Box Hero,Foreigner,0.522,0.653,0.357,176.647,0.0828,0.0654
Working for the Weekend,Loverboy,0.774,0.766,0.515,146.911,0.0249,0.0343
Sweet Home Alabama,Lynyrd Skynyrd,0.886,0.605,0.597,97.782,0.181,0.0255
Immigrant Song - Remaster,Led Zeppelin,0.619,0.932,0.564,112.937,0.013,0.0554
21 Guns,Green Day,0.416,0.742,0.268,159.779,0.0518,0.0355
Ridin',Chamillionaire,0.836,0.798,0.788,143.051,0.189,0.0997
"Rasputin - 7"" Version",Boney M.,0.972,0.719,0.694,126.212,0.47,0.048
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,0.654,0.861,0.663,119.963,0.0338,0.109
Carry on Wayward Son,Kansas,0.793,0.786,0.483,126.748,0.00316,0.0319
Glory,Bastille,0.266,0.647,0.558,124.01,0.603,0.0638
Down Under,Men At Work,0.891,0.79,0.746,107.231,0.0485,0.0257
You Make Me Feel... (feat. Sabi),Cobra Starship,0.748,0.857,0.668,131.959,0.0191,0.0535
Ride,Twenty One Pilots,0.566,0.713,0.645,74.989,0.00835,0.0393
Radioactive,Imagine Dragons,0.236,0.784,0.448,136.245,0.106,0.0627
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,0.567,0.924,0.558,151.99,0.0271,0.064
Irresistible,Fall Out Boy,0.445,0.937,0.487,164.996,0.071,0.11
Miss Jackson (feat. LOLO),Panic! At The Disco,0.662,0.873,0.642,82.002,0.00394,0.0551
Whatever It Takes,Imagine Dragons,0.556,0.655,0.672,134.945,0.0362,0.0311
Somebody Told Me,The Killers,0.647,0.987,0.509,138.039,8.05e-05,0.0886
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,0.62,0.758,0.722,128.047,0.0111,0.0471
Party Rock Anthem,LMFAO,0.359,0.727,0.75,129.993,0.0189,0.142
Flaws,Bastille,0.41,0.657,0.57,144.247,0.405,0.0356
Pour Some Sugar On Me - Remastered 2017,Def Leppard,0.568,0.953,0.267,84.989,0.00211,0.096
Deja Vu (Initial D),Tsuko G.,0.702,0.957,0.569,154.071,0.116,0.0419
You Really Got Me - 2015 Remaster,Van Halen,0.647,0.946,0.454,138.18,0.0223,0.13
Hold the Line,TOTO,0.778,0.698,0.494,95.842,0.0397,0.0553
Rio - 2009 Remaster,Duran Duran,0.676,0.873,0.544,140.902,0.0415,0.0525
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,0.272,0.846,0.384,90.172,0.151,0.0365
Stacy's Mom,Fountains Of Wayne,0.925,0.75,0.774,118.015,0.0021,0.0413
Fortunate Son,Creedence Clearwater Revival,0.663,0.663,0.64,132.77,0.201,0.0374
Thriller,Michael Jackson,0.721,0.887,0.764,118.421,0.0816,0.0738
Wake Me Up Before You Go-Go - Remastered,Wham!,0.815,0.795,0.607,81.298,0.0986,0.0496
Life Is A Highway - Remastered Version,Rascal Flatts,0.661,0.955,0.583,103.06,0.00215,0.0642
Seven Nation Army,The White Stripes,0.309,0.462,0.75,123.865,0.00576,0.0779
You Give Love A Bad Name,Bon Jovi,0.828,0.959,0.537,122.806,0.0704,0.0557
I'm Gonna Be (500 Miles),The Proclaimers,0.807,0.551,0.851,131.922,0.151,0.0396
You Make My Dreams - Remastered,Daryl Hall & John Oates,0.939,0.484,0.749,167.084,0.13,0.0484
Some Nights,fun.,0.392,0.738,0.672,107.938,0.0178,0.0506
Cruise,Florida Georgia Line,0.878,0.948,0.457,148.0,0.0191,0.0354
Everybody Talks,Neon Trees,0.725,0.924,0.471,154.961,0.00301,0.0586
Thunderstruck,AC/DC,0.257,0.889,0.501,133.519,0.000147,0.0364
Animal,Neon Trees,0.74,0.833,0.482,148.039,0.000346,0.0449
Rock You Like A Hurricane,Scorpions,0.774,0.601,0.482,125.619,0.00853,0.0486
Any Way You Want It,Journey,0.571,0.932,0.529,138.158,0.00251,0.0488
Don't Bring Me Down,Electric Light Orchestra,0.805,0.867,0.638,115.692,0.144,0.0331
Separate Ways (Worlds Apart),Journey,0.377,0.962,0.451,131.435,0.0188,0.0734
One Way Or Another,Blondie,0.855,0.922,0.442,162.272,0.0532,0.0655
"Take Me Home, Country Roads - Rerecorded",John Denver,0.546,0.43,0.255,164.267,0.546,0.0322
Angel With A Shotgun,The Cab,0.402,0.837,0.546,124.007,0.00549,0.0519
Animals,Maroon 5,0.328,0.742,0.279,189.868,0.000185,0.0898
Blame It On Waylon,Josh Thompson,0.669,0.826,0.653,122.055,0.0353,0.0315
Piano Man,Billy Joel,0.431,0.472,0.334,179.167,0.6,0.0277
I Wanna Get Better,Bleachers,0.385,0.891,0.456,190.024,0.00266,0.106
One Week,Barenaked Ladies,0.731,0.898,0.702,112.845,0.00854,0.0373
We're Not Gonna Take It,Twisted Sister,0.922,0.924,0.502,149.186,0.0127,0.0503
(I Just) Died In Your Arms,Cutting Crew,0.499,0.727,0.632,124.919,0.0119,0.0438
Don't Stop Me Now - 2011 Mix,Queen,0.601,0.865,0.563,156.271,0.0472,0.16
More Than a Feeling,Boston,0.288,0.682,0.377,108.736,0.000894,0.0299
Beat It - Single Version,Michael Jackson,0.915,0.867,0.779,138.858,0.0491,0.0457
Losing My Religion,R.E.M.,0.803,0.855,0.666,125.639,0.179,0.0295
Your Love,The Outfield,0.582,0.757,0.555,129.607,0.103,0.0601
Paradise City,Guns N' Roses,0.497,0.949,0.274,100.346,0.0214,0.0896
Back In Black,AC/DC,0.763,0.7,0.31,188.386,0.011,0.047
Livin' On A Prayer,Bon Jovi,0.72,0.887,0.534,122.494,0.0768,0.0345
American Pie,The Deep Dixie Boys,0.448,0.505,0.563,138.022,0.713,0.0578
Gangsta's Paradise,Coolio,0.387,0.514,0.647,79.974,0.0655,0.0593
92 Explorer,Post Malone,0.861,0.733,0.798,146.046,0.265,0.0476
I Believe in Us,LÉON,0.257,0.423,0.555,137.044,0.799,0.044
Another One,Kim Petras,0.316,0.435,0.564,80.018,0.449,0.0294
Good News,K.Flay,0.223,0.75,0.64,123.082,0.0161,0.0439
Adore You,Maisie Peters,0.884,0.802,0.704,90.543,0.398,0.17
There Will Be Blood,Kim Petras,0.602,0.879,0.562,107.026,0.00119,0.0905
Sims,Lauv,0.567,0.398,0.529,99.714,0.643,0.388
9 2 5,Terror Jr,0.73,0.565,0.837,113.021,0.00952,0.0838
Burnout,EXES,0.471,0.478,0.638,156.112,0.555,0.0417
Stole Your Car,Charlotte Lawrence,0.202,0.712,0.659,101.034,0.0729,0.0782
Sweet Little Lies,bülow,0.689,0.727,0.648,160.024,0.229,0.142
Safe,Daya,0.376,0.696,0.412,87.622,0.089,0.0508
Bad,Lennon Stella,0.747,0.613,0.827,137.96,0.366,0.0621
