Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Chappelle's Show,2003,18+,8.8,"Comedy, Musical","Dave Chappelle's singular point of view is unleashed through a combination of laidback stand-up and street-smart sketches.Chappelle's Show featuring Dave Chappelle has one or more episodes streaming on CBS All Access, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), free on Comedy Central, and 9 others. It's a comedy and musical show with 30 episodes over 3 seasons. Chappelle's Show is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (51,813 votes) and was very well received by critics.",3Seasons,"Free Services,CBS All Access,Comedy Central"
Elementary,2012,16+,7.9,"Crime, Drama","A modern-day drama about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.Elementary featuring Jonny Lee Miller and Lucy Liu has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 156 episodes over 7 seasons. Elementary is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (99,587 votes) and was very well received by critics.",7Seasons,Hulu
Bob's Burgers,2011,16+,8.1,"Animation, Comedy","Bob's Burgers follows a third-generation restaurateur, Bob, as he runs Bob's Burgers with the help of his wife and their three kids. Bob and his quirky family have big ideas about burgers, but fall short on service and sophistication. Despite the greasy counters, lousy location and a dearth of customers, Bob and his family are determined to make Bob's Burgers ""grand re-re-re-opening"" a success.Bob's Burgers featuring H. Jon Benjamin and Kristen Schaal has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FX (Via Cable/Satellite Provider), streaming via tv everywhere with TBS, and 11 others. It's an animation and comedy show with 195 episodes over 10 seasons. Bob's Burgers has a new episode airing on September 27th, 2020 (PDT). It has a high IMDb audience rating of 8.1 (62,461 votes) and was very well received by critics.",10Seasons,"Free Services,Hulu,FX"
Naruto Shippūden,2007,7+,8.6,"Action & Adventure, Anime","Naruto Shippuuden is the continuation of the original animated TV series Naruto.The story revolves around an older and slightly more matured Uzumaki Naruto and his quest to save his friend Uchiha Sasuke from the grips of the snake-like Shinobi, Orochimaru. After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work, though it will not be easy, as He has amassed a few (more dangerous) enemies, in the likes of the shinobi organization; Akatsuki.Naruto Shippūden featuring Kazuhiko Inoue and Akira Ishida has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), free on Adult Swim, and 3 others. It's an action & adventure and animation show with 1,257 episodes over 24 seasons. Naruto Shippūden is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (75,896 votes).",24 Seasons,"Free Services,Hulu,Adult Swim"
Dead to Me,2019,18+,8,"Comedy, Drama","A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.Dead to Me featuring Christina Applegate and Linda Cardellini has one or more episodes streaming with subscription on Netflix. It's a comedy and crime show with 20 episodes over 2 seasons. Dead to Me is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (49,398 votes) and was very well received by critics.",2Seasons,Netflix
Misfits,2009,18+,8.2,"Comedy, Drama","When five young outsiders on Community Service get caught in a strange storm, they discover that they have developed superpowers.Misfits featuring Joseph Gilgun and Karla Crome has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and drama show with 39 episodes over 5 seasons. Misfits is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (90,882 votes) and was very well received by critics.",5 Seasons,Hulu
Altered Carbon,2018,18+,8,"Mystery, Science-Fiction","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.Altered Carbon featuring Ato Essandoh and Chris Conner has one or more episodes streaming with subscription on Netflix. It's an action & adventure and drama show with 18 episodes over 2 seasons. Altered Carbon is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (136,369 votes) and was met with mixed reviews by critics.",2Seasons,Netflix
Good Girls,2018,16+,7.9,"Drama, Comedy","Three ""good girl"" suburban wives and mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.Good Girls featuring Christina Hendricks and Mae Whitman has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on NBC, and 6 others. It's a comedy and crime show with 35 episodes over 3 seasons. Good Girls is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (29,022 votes) and was well received by critics.",3 Seasons,"Free Services,Netflix,Hulu"
Teen Wolf,2011,16+,7.6,"Horror, Comedy","Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.Teen Wolf featuring Tyler Posey and Dylan O'Brien has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and comedy show with 100 episodes over 6 seasons. Teen Wolf is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (122,603 votes) and was well received by critics.",6Seasons,Prime Video
Good Omens,2019,18+,8.1,"Comedy, Drama","Aziraphale, an angel, and Crowley, a demon, join forces to find the Antichrist and stop Armageddon.Good Omens featuring Michael Sheen and David Tennant has one or more episodes streaming with subscription on Prime Video, available for purchase on Google Play, and available for purchase on YouTube. It's a comedy and drama show with 6 episodes over 1 season. Good Omens is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (53,820 votes) and was well received by critics.",1Season,Prime Video
Master of None,2015,18+,8.3,"Comedy, Drama","30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.Master of None featuring Aziz Ansari and Eric Wareheim has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 20 episodes over 2 seasons. Master of None is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (63,764 votes) and was very well received by critics.",2Seasons,Netflix
Barry,2018,18+,8.3,"Comedy, Action & Adventure","A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.Barry featuring Bill Hader and Stephen Root has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's an action & adventure and comedy show with 16 episodes over 2 seasons. Barry is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.3 (41,329 votes) and was very well received by critics.",2Seasons,"HBO MAX,HBO"
Tom Clancy's Jack Ryan,2018,18+,8.1,"Action & Adventure, Drama","When CIA analyst Jack Ryan stumbles upon a suspicious series of bank transfers his search for answers pulls him from the safety of his desk job and catapults him into a deadly game of cat and mouse throughout Europe and the Middle East, with a rising terrorist figurehead preparing for a massive attack against the US and her allies.Tom Clancy's Jack Ryan featuring John Krasinski and Wendell Pierce has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 16 episodes over 2 seasons. Tom Clancy's Jack Ryan is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (83,760 votes) and was well received by critics.",2Seasons,Prime Video
The Pacific,2010,18+,8.3,"Drama, History","Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.The Pacific featuring James Badge Dale and Jon Seda has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, streaming with subscription on Prime Video, and 5 others. It's an action & adventure and drama show with 10 episodes over 1 season. The Pacific is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (96,659 votes) and was very well received by critics.",1Season,"HBO MAX,HBO,Prime Video"
Making a Murderer,2015,16+,8.6,"Documentary, Crime","Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.Making a Murderer featuring Kathleen Zellner and Steven Avery has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 20 episodes over 2 seasons. Making a Murderer is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (84,429 votes) and was well received by critics.",2 Seasons,Netflix
Unorthodox,2020,18+,8,Drama,"A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians -- until her past comes calling.Unorthodox featuring Shira Haas and Tamar Amit-Joseph has one or more episodes streaming with subscription on Netflix. It's a drama show with 4 episodes over 1 season. Unorthodox is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (45,901 votes) and was very well received by critics.",1 Season,Netflix
The Good Wife,2009,16+,8.3,"Crime, Drama","Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.The Good Wife featuring Julianna Margulies and Matt Czuchry has one or more episodes streaming with subscription on Prime Video, streaming on CBS All Access, available for purchase on iTunes, and 4 others. It's a crime and drama show with 158 episodes over 7 seasons. The Good Wife is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (66,886 votes) and was very well received by critics.",7Seasons,"Prime Video,CBS All Access"
Taboo,2017,16+,8.4,"Drama, Mystery","Adventurer James Keziah Delaney returns to London from Africa in 1814 along with fourteen stolen diamonds to seek vengeance after the death of his father.Taboo featuring Tom Hardy and Jonathan Pryce has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 5 others. It's an action & adventure and drama show with 8 episodes over 1 season. Taboo is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (112,015 votes) and was well received by critics.",1 Season,Hulu
Lovecraft Country,2020,18+,7.3,"Drama, Fantasy","The anthology horror series follows 25-year-old Atticus Freeman, who joins up with his friend Letitia and his Uncle George to embark on a road trip across 1950s Jim Crow America to find his missing father. They must survive and overcome both the racist terrors of white America and the malevolent spirits that could be ripped from a Lovecraft paperback.Lovecraft Country featuring Jonathan Majors and Jurnee Smollett has one or more episodes streaming with subscription on HBO MAX, and streaming on HBO. It's a drama and fantasy show with 5 episodes over 1 season. Lovecraft Country has a new episode airing on September 20th, 2020 (PDT). It has a better than average IMDb audience rating of 7.3 (11,027 votes) and was well received by critics.",1Season,"HBO MAX,HBO"
Upload,2020,18+,8,"Comedy, Mystery","In 2033, people who are near death can be “uploaded” into virtual reality hotels run by 6 tech firms. Cash-strapped Nora lives in Brooklyn and works customer service for the luxurious “Lakeview” digital afterlife. When L.A. party-boy/coder Nathan’s self-driving car crashes, his high-maintenance girlfriend uploads him permanently into Nora’s VR world.Upload featuring Robbie Amell and Andy Allo has one or more episodes streaming with subscription on Prime Video. It's a comedy and fantasy show with 10 episodes over 1 season. Upload is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (31,246 votes) and was well received by critics.",1 Season,Prime Video
Elite,2018,18+,7.6,"Crime, Drama","When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.Elite featuring Itzan Escamilla and Mina El Hammani has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 24 episodes over 3 seasons. Elite is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.6 (41,883 votes) and was very well received by critics.",3Seasons,Netflix
Doctor Who,2005,7+,8.6,"Action & Adventure, Drama","The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.Doctor Who featuring Jodie Whittaker and Mandip Gill has one or more episodes streaming with subscription on HBO MAX, streaming via tv everywhere with BBC America (Via Cable/Satellite Provider), available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 151 episodes over 12 seasons. Doctor Who is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (195,628 votes).",12Seasons,"HBO MAX,BBC America"
Our Planet,2019,7+,9.3,Documentary,"Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.Our Planet featuring David Attenborough has one or more episodes streaming with subscription on Netflix. It's a documentary show with 8 episodes over 1 season. Our Planet is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.3 (28,428 votes) and was very well received by critics.",1Season,Netflix
Star Wars: The Clone Wars,2008,7+,8.2,"Animation, Children","Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.Star Wars: The Clone Wars featuring James Arnold Taylor and Corey Burton has one or more episodes streaming with subscription on Disney+, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and animation show with 133 episodes over 7 seasons. Star Wars: The Clone Wars is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (54,477 votes) and was very well received by critics.",7 Seasons,Disney+
American Horror Story,2011,18+,8,"Drama, Horror","An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke and a cult.American Horror Story featuring Emma Roberts and Billie Lourd has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 5 others. It's a drama and fantasy show with 104 episodes over 9 seasons. American Horror Story is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (268,983 votes).",9 Seasons,"Netflix,Prime Video,Hulu"
One Piece,1999,7+,8.7,"Action & Adventure, Anime","Years ago, the fearsome pirate king Gol D. Roger was executed, leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new pirate king. Monkey D. Luffy, a boy who consumed one of the ""Devil's Fruits"", has it in his head that he'll follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Monkey D. Luffy brings a bunch of his crew followed by, Roronoa Zoro, Nami, Usopp, Sanji, Tony-Tony Chopper, Nico Robin, Franky, and Brook. They will do anything to get the One Piece and become King of the Pirates!One Piece featuring Mayumi Tanaka and Kazuya Nakai has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Crunchyroll, and 3 others. It's an action & adventure and animation show with 1,954 episodes over 19 seasons. One Piece is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (62,320 votes).",19 Seasons,"Free Services,Netflix,Hulu"
Castle,2009,16+,8.1,"Comedy, Crime","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.Castle featuring Nathan Fillion and Stana Katic has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 3 others. It's a comedy and crime show with 173 episodes over 8 seasons. Castle is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (138,237 votes) and was well received by critics.",8Seasons,Disney+
11.22.63,2016,18+,8.2,"Mystery, Science-Fiction","An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.11.22.63 featuring James Franco and Sarah Gadon has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a drama and fantasy show with 8 episodes over 1 season. 11.22.63 is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (69,556 votes) and was well received by critics.",1 Season,Hulu
Gotham,2014,16+,7.8,"Drama, Action & Adventure","Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?Gotham featuring Ben McKenzie and Donal Logue has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), available for purchase on iTunes, and 4 others. It's an action & adventure and crime show with 101 episodes over 5 seasons. Gotham is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (207,849 votes) and was well received by critics.",5Seasons,"Netflix,FOX"
Pushing Daisies,2007,7+,8.3,"Comedy, Drama","A pie-maker, with the power to bring dead people back to life, solves murder mysteries with his alive-again childhood sweetheart, a cynical private investigator, and a lovesick waitress.Pushing Daisies featuring Lee Pace and Anna Friel has one or more episodes free on CW Seed, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a comedy and crime show with 22 episodes over 2 seasons. Pushing Daisies is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (52,894 votes) and was very well received by critics.",2Seasons,Free Services
The Night Manager,2016,16+,8.1,"Crime, Drama","Former British soldier Jonathan Pine navigates the shadowy recesses of Whitehall and Washington where an unholy alliance operates between the intelligence community and the secret arms trade. To infiltrate the inner circle of lethal arms dealer Richard Onslow Roper, Pine must himself become a criminal.The Night Manager featuring Tom Hiddleston and Hugh Laurie has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and crime show with 6 episodes over 1 season. The Night Manager is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (67,680 votes) and was very well received by critics.",1Season,Prime Video
Grimm,2011,16+,7.8,"Action & Adventure, Crime","After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.Grimm featuring David Giuntoli and Silas Weir Mitchell has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an action & adventure and crime show with 123 episodes over 6 seasons. Grimm is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (107,421 votes) and was very well received by critics.",6Seasons,Prime Video
Hunter x Hunter,2011,16+,8.9,"Action & Adventure, Anime","Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive and well. His Father, Ging, is a Hunter—a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.Hunter x Hunter featuring 潘惠美 and Mariya Ise has one or more episodes streaming with subscription on Netflix, streaming with subscription on HBO MAX, streaming with subscription on Hulu, and 10 others. It's an action & adventure and animation show with 274 episodes over 6 seasons. Hunter x Hunter is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (48,134 votes).",6 Seasons,"Free Services,Netflix,HBO MAX"
Bones,2005,16+,7.8,"Mystery, Comedy","Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.Bones featuring Emily Deschanel and David Boreanaz has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming via tv everywhere with TNT, and 3 others. It's a comedy and crime show with 247 episodes over 12 seasons. Bones is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (136,120 votes) and was very well received by critics.",12Seasons,"Prime Video,Hulu,TNT"
Ash vs Evil Dead,2015,18+,8.4,"Comedy, Horror","Bruce Campbell reprises his role as Ash Williams, an aging lothario and chainsaw-handed monster hunter who’s spent the last three decades avoiding maturity, and the terrors of the Evil Dead. But when a Deadite plague threatens to destroy all of mankind, he’s forced to face his demons — both metaphorical and literal.Ash vs Evil Dead featuring Bruce Campbell and Lucy Lawless has one or more episodes streaming with subscription on Netflix, streaming on Starz, available for purchase on iTunes, and 5 others. It's an action & adventure and comedy show with 32 episodes over 3 seasons. Ash vs Evil Dead is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (63,009 votes) and was very well received by critics.",3Seasons,"Netflix,Starz"
Frasier,1993,7+,8,Comedy,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.Frasier featuring Kelsey Grammer and David Hyde Pierce has one or more episodes streaming with subscription on Hulu, streaming on CBS All Access, free on CBS, and 8 others. It's a comedy show with 264 episodes over 11 seasons. Frasier is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (71,785 votes) and was very well received by critics.",11Seasons,"Free Services,Hulu,CBS All Access"
The Morning Show,2019,18+,8.4,"Comedy, Drama","A behind-the-scenes look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.The Morning Show featuring Jennifer Aniston and Reese Witherspoon has one or more episodes streaming with subscription on Apple TV+. It's a comedy and drama show with 10 episodes over 1 season. The Morning Show is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (41,437 votes) and was met with mixed reviews by critics.",1 Season,Apple TV+
Russian Doll,2019,18+,7.9,"Comedy, Drama","Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.Russian Doll featuring Natasha Lyonne and Greta Lee has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 8 episodes over 1 season. Russian Doll is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (61,986 votes) and was very well received by critics.",1Season,Netflix
One-Punch Man,2015,7+,8.8,"Animation, Anime","Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong—even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?One-Punch Man featuring Makoto Furukawa and Kaito Ishikawa has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on PlutoTV, and 8 others. It's an action & adventure and animation show with 25 episodes over 2 seasons. One-Punch Man is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (106,747 votes) and was very well received by critics.",2Seasons,"Free Services,Netflix,Hulu"
Veronica Mars,2004,16+,8.3,"Drama, Crime","In the fictional town of Neptune, California, student Veronica Mars progresses from high school to college while moonlighting as a private investigator under the tutelage of her detective father.Veronica Mars featuring Kristen Bell and Enrico Colantoni has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 72 episodes over 4 seasons. Veronica Mars is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (66,519 votes) and was very well received by critics.",4Seasons,Hulu
Oz,1997,18+,8.7,"Drama, Crime","The daily lives of prisoners in Emerald City, an experimental unit of the Oswald Maximum Security Prison where ingroups - Muslims, Latinos, Italians, Aryans - stick close to their mutual friends and terrorizes their mutual enemies.Oz featuring Lee Tergesen and Harold Perrineau has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's a crime and drama show with 56 episodes over 6 seasons. Oz is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (86,834 votes) and was very well received by critics.",6Seasons,"HBO MAX,HBO"
Atypical,2017,18+,8.3,"Comedy, Drama","Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family.Atypical featuring Keir Gilchrist and Jennifer Jason Leigh has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 28 episodes over 3 seasons. Atypical is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.3 (55,228 votes) and was well received by critics.",3Seasons,Netflix
After Life,2019,18+,8.4,"Comedy, Drama","Tony had a perfect life. But after his wife Lisa suddenly dies, Tony changes. After contemplating taking his own life, he decides instead to live long enough to punish the world by saying and doing whatever he likes from now on.After Life featuring Ricky Gervais and Kerry Godliman has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 12 episodes over 2 seasons. After Life is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (78,229 votes) and was well received by critics.",2Seasons,Netflix
Criminal Minds,2005,16+,8.1,"Crime, Drama","An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.Criminal Minds featuring Matthew Gray Gubler and A.J. Cook has one or more episodes streaming with subscription on Netflix, streaming on CBS All Access, free on CBS, and 5 others. It's a crime and drama show with 326 episodes over 15 seasons. Criminal Minds is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (153,603 votes).",15 Seasons,"Free Services,Netflix,CBS All Access"
Steins;Gate,2011,16+,8.8,"Animation, Anime","A group of friends have customized their microwave so that it can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.Steins;Gate featuring Kana Hanazawa and Mamoru Miyano has one or more episodes streaming with subscription on Hulu, streaming with subscription on Funimation, available for purchase on iTunes, and 1 other. It's an action & adventure and animation show with 49 episodes over 2 seasons. Steins;Gate is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (40,732 votes) and was very well received by critics.",2Seasons,"Hulu,Funimation"
Black Books,2000,7+,8.5,Comedy,"Black Books centres around the foul tempered and wildly eccentric bookshop owner Bernard Black. Bernard’s devotion to the twin pleasures of drunkenness and wilful antagonism deepens and enriches both his life and that of Manny, his assistant. Bearded, sweet and good, Manny is everything that Bernard isn’t and is punished by Bernard relentlessly just for the crime of existing. They depend on each other for meaning as Fran, their oldest friend, depends on them for distraction. Black Books is a haven of books, wine and conversation, the only threat to the group’s peace and prosperity is their own limitless stupidity.Black Books featuring Dylan Moran and Bill Bailey has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming with subscription on Acorn TV (Via Prime Video), and 2 others. It's a comedy show with 18 episodes over 3 seasons. Black Books is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (52,992 votes) and was very well received by critics.",3Seasons,"Prime Video,Hulu,AcornTV"
Star Trek,1966,7+,8.3,"Action & Adventure, Drama","Space. The Final Frontier. The U.S.S. Enterprise embarks on a five year mission to explore the galaxy. The Enterprise is under the command of Captain James T. Kirk with First Officer Mr. Spock, from the planet Vulcan. With a determined crew, the Enterprise encounters Klingons, Romulans, time paradoxes, tribbles and genetic supermen lead by Khan Noonian Singh. Their mission is to explore strange new worlds, to seek new life and new civilizations, and to boldly go where no man has gone before.Star Trek featuring William Shatner and Leonard Nimoy has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 6 others. It's an action & adventure and drama show with 79 episodes over 3 seasons. Star Trek is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (71,399 votes) and was well received by critics.",3Seasons,"Netflix,Prime Video,Hulu"
Banshee,2013,18+,8.4,"Drama, Thriller","Banshee is an American drama television series set in a small town in Pennsylvania Amish country and features an enigmatic ex-con posing as a murdered sheriff who imposes his own brand of justice while also cooking up plans that serve his own interests.Banshee featuring Antony Starr and Ivana Miličević has one or more episodes streaming on Cinemax, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and crime show with 39 episodes over 4 seasons. Banshee is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (83,246 votes) and was very well received by critics.",4Seasons,Cinemax
